pib,trab
8.579068857,10.36847472
5.217254342,10.80822548
1.058903911,8.732495094
2.707344668,7.439229331
1.319788465,10.51162678
2.818919836,9.852006402
1.502369362,9.168869111
-3.516987052,3.688222362
-9.413584949,0.749219199
-11.15155027,-0.502161602
-5.061781895,-4.912574273
-5.235371453,-2.90632335
-6.50878866,-4.873950856
1.901817744,-1.325846004
-4.097617721,0.386378348
0.591249235,1.168534564
9.617406095,5.515349364
4.269294942,2.476915385
-0.679517786,1.953288823
0.623561992,2.753033027
6.731842054,3.393643888
8.619445547,2.576508416
4.535314963,2.336472626
8.001825553,3.164981897
1.773213252,0.536068337
3.742257352,4.663371097
2.503091727,6.679757136
6.345293174,9.103776675
5.554494914,13.57289143
7.302606704,11.27672896
11.84299907,11.8026786
9.626817791,8.136847472
5.189807063,7.239473157
2.251010688,6.829089163
2.467650497,4.53999722
8.53564422,3.902697891
5.089269913,1.51806398
10.32986184,0.868953851
2.637649458,-0.050613324
-2.439486178,-3.682782087
-6.06521805,-7.362804506
-7.394715486,-9.446137505
-4.938914174,-10.53370877
-5.866986154,-5.171742603
2.011072052,0.015066611
-0.914883027,3.989901077
-2.438118316,7.185552645
1.440581711,8.203718482
-3.726205863,6.086084542
3.638219076,3.84553929
6.504935243,4.622352202
9.443380323,4.930033171
5.306817468,5.194417475
2.395128743,6.663794473
4.270716314,7.455469879
-1.758267904,4.877074178
-0.270536937,1.093493846
-0.473096258,0.064095866
-5.127135657,-1.22260983
-0.27709314,2.049050588
0.963616963,5.932149536
3.143615383,6.987117347
2.414269043,9.448672225
3.915970988,10.72460062
0.966545485,11.0598046
0.867698948,10.41808091
8.126535254,7.511560718
-1.520149191,2.98254869
4.501993617,1.898027515
2.913314196,1.747193553
-3.628274305,1.818550372
3.169046798,3.208712735
1.167246426,4.439215181
-2.913268395,3.864992373
0.599571547,4.604659835
-0.218989812,5.801733256
2.590156634,5.277451188
4.649945354,5.43207349
-0.597744348,4.90241689
-5.5144277,0.624171132
0.518380432,-0.04296264
-7.055517648,-2.053871197
-6.933039054,-2.926262583
-6.004508998,-0.829711875
-7.948703854,-2.70512336
-34.0992405,-11.61380092
-17.72532486,-8.381337756
-10.42343556,-5.5
